,Energy_Delta,temp,pressure,humidity,wind_speed,clouds_all,SunlightTime/daylength,weather_type,hour,month
0,5,3.5,1016,99,6.0,98,0.13,4,8,1
1,33,3.5,1016,99,6.0,98,0.17,4,8,1
2,44,3.5,1016,99,6.0,98,0.2,4,8,1
3,61,3.5,1016,99,6.0,98,0.23,4,8,1
4,65,3.6,1016,97,6.2,100,0.27,4,9,1
5,83,3.6,1016,97,6.2,100,0.3,4,9,1
6,69,3.6,1016,97,6.2,100,0.33,4,9,1
7,98,3.6,1016,97,6.2,100,0.37,4,9,1
8,138,3.8,1015,93,5.6,94,0.4,4,10,1
9,161,3.8,1015,93,5.6,94,0.43,4,10,1
10,119,3.8,1015,93,5.6,94,0.47,4,10,1
11,95,3.8,1015,93,5.6,94,0.5,4,10,1
12,105,3.8,1014,91,5.8,100,0.53,4,11,1
13,124,3.8,1014,91,5.8,100,0.57,4,11,1
14,105,3.8,1014,91,5.8,100,0.6,4,11,1
15,67,3.8,1014,91,5.8,100,0.63,4,11,1
16,95,3.8,1014,90,5.9,100,0.67,4,12,1
17,79,3.8,1014,90,5.9,100,0.7,4,12,1
18,42,3.8,1014,90,5.9,100,0.73,4,12,1
19,42,3.8,1014,90,5.9,100,0.77,4,12,1
20,55,3.9,1013,89,6.1,98,0.8,4,13,1
21,96,3.9,1013,89,6.1,98,0.83,4,13,1
22,62,3.9,1013,89,6.1,98,0.87,4,13,1
23,102,3.9,1013,89,6.1,98,0.9,4,13,1
24,58,3.8,1013,89,6.2,98,0.93,4,14,1
25,30,3.8,1013,89,6.2,98,0.97,4,14,1
26,6,3.8,1013,89,6.2,98,1.0,4,14,1
27,22,1.8,1011,96,5.0,100,0.13,4,8,1
28,33,1.8,1011,96,5.0,100,0.17,4,8,1
29,68,1.8,1011,96,5.0,100,0.2,4,8,1
30,68,1.8,1011,96,5.0,100,0.23,4,8,1
31,114,2.0,1012,96,5.1,100,0.27,4,9,1
32,181,2.0,1012,96,5.1,100,0.3,4,9,1
33,302,2.0,1012,96,5.1,100,0.33,4,9,1
34,124,2.0,1012,96,5.1,100,0.37,4,9,1
35,637,2.2,1012,95,5.0,79,0.4,3,10,1
36,168,2.2,1012,95,5.0,79,0.43,3,10,1
37,101,2.2,1012,95,5.0,79,0.47,3,10,1
38,101,2.2,1012,95,5.0,79,0.5,3,10,1
39,210,2.0,1012,91,4.8,80,0.53,5,11,1
40,207,2.0,1012,91,4.8,80,0.57,5,11,1
41,155,2.0,1012,91,4.8,80,0.6,5,11,1
42,439,2.0,1012,91,4.8,80,0.63,5,11,1
43,1545,2.1,1012,90,4.8,48,0.67,2,12,1
44,2115,2.1,1012,90,4.8,48,0.7,2,12,1
45,883,2.1,1012,90,4.8,48,0.73,2,12,1
46,857,2.1,1012,90,4.8,48,0.77,2,12,1
47,356,1.7,1013,86,5.7,27,0.8,2,13,1
48,632,1.7,1013,86,5.7,27,0.83,2,13,1
49,319,1.7,1013,86,5.7,27,0.87,2,13,1
50,352,1.7,1013,86,5.7,27,0.9,2,13,1
51,217,1.6,1013,83,5.5,23,0.93,2,14,1
52,70,1.6,1013,83,5.5,23,0.97,2,14,1
53,31,1.6,1013,83,5.5,23,1.0,2,14,1
54,28,0.5,1013,97,5.0,96,0.13,4,8,1
55,29,0.5,1013,97,5.0,96,0.17,4,8,1
56,58,0.5,1013,97,5.0,96,0.2,4,8,1
57,60,0.5,1013,97,5.0,96,0.23,4,8,1
58,109,1.2,1013,96,5.5,100,0.27,5,9,1
59,110,1.2,1013,96,5.5,100,0.3,5,9,1
60,117,1.2,1013,96,5.5,100,0.33,5,9,1
61,126,1.2,1013,96,5.5,100,0.37,5,9,1
62,149,1.1,1012,97,5.7,100,0.4,5,10,1
63,143,1.1,1012,97,5.7,100,0.43,5,10,1
64,155,1.1,1012,97,5.7,100,0.47,5,10,1
65,142,1.1,1012,97,5.7,100,0.5,5,10,1
66,137,1.2,1011,99,6.1,100,0.53,5,11,1
67,109,1.2,1011,99,6.1,100,0.57,5,11,1
68,102,1.2,1011,99,6.1,100,0.6,5,11,1
69,131,1.2,1011,99,6.1,100,0.63,5,11,1
70,126,1.7,1010,98,6.9,100,0.67,5,12,1
71,102,1.7,1010,98,6.9,100,0.7,5,12,1
72,69,1.7,1010,98,6.9,100,0.73,5,12,1
73,79,1.7,1010,98,6.9,100,0.77,5,12,1
74,79,2.3,1009,97,7.4,100,0.8,5,13,1
75,39,2.3,1009,97,7.4,100,0.83,5,13,1
76,20,2.3,1009,97,7.4,100,0.87,5,13,1
77,19,2.3,1009,97,7.4,100,0.9,5,13,1
78,12,2.5,1008,95,7.7,100,0.93,5,14,1
79,6,2.5,1008,95,7.7,100,0.97,5,14,1
80,21,1.7,990,87,9.2,81,0.13,5,8,1
81,49,1.7,990,87,9.2,81,0.16,5,8,1
82,69,1.7,990,87,9.2,81,0.19,5,8,1
83,300,1.7,990,87,9.2,81,0.23,5,8,1
84,101,2.1,990,88,9.2,100,0.26,5,9,1
85,148,2.1,990,88,9.2,100,0.29,5,9,1
86,332,2.1,990,88,9.2,100,0.32,5,9,1
87,116,2.1,990,88,9.2,100,0.35,5,9,1
88,29,2.6,991,87,9.0,64,0.39,5,10,1
89,68,2.6,991,87,9.0,64,0.42,5,10,1
90,440,2.6,991,87,9.0,64,0.45,5,10,1
91,349,2.6,991,87,9.0,64,0.48,5,10,1
92,275,2.7,991,83,9.8,83,0.52,5,11,1
93,458,2.7,991,83,9.8,83,0.55,5,11,1
94,223,2.7,991,83,9.8,83,0.58,5,11,1
95,245,2.7,991,83,9.8,83,0.61,5,11,1
96,162,1.6,992,84,10.1,99,0.65,5,12,1
97,120,1.6,992,84,10.1,99,0.68,5,12,1
98,110,1.6,992,84,10.1,99,0.71,5,12,1
99,42,1.6,992,84,10.1,99,0.74,5,12,1
100,58,1.6,994,85,9.2,100,0.77,5,13,1
101,45,1.6,994,85,9.2,100,0.81,5,13,1
102,37,1.6,994,85,9.2,100,0.84,5,13,1
103,98,1.6,994,85,9.2,100,0.87,5,13,1
104,46,1.0,995,86,9.0,100,0.9,5,14,1
105,7,1.0,995,86,9.0,100,0.94,5,14,1
106,15,-2.8,1016,86,6.2,19,0.35,2,9,1
107,19,-2.5,1016,83,5.7,15,0.39,2,10,1
108,24,-2.5,1016,83,5.7,15,0.42,2,10,1
109,678,-2.5,1016,83,5.7,15,0.45,2,10,1
110,2367,-2.5,1016,83,5.7,15,0.48,2,10,1
111,2572,-2.2,1016,81,5.5,10,0.52,1,11,1
112,2598,-2.2,1016,81,5.5,10,0.55,1,11,1
113,2640,-2.2,1016,81,5.5,10,0.58,1,11,1
114,2706,-2.2,1016,81,5.5,10,0.61,1,11,1
115,2631,-2.0,1015,79,5.4,3,0.65,1,12,1
116,2376,-2.0,1015,79,5.4,3,0.68,1,12,1
117,2195,-2.0,1015,79,5.4,3,0.71,1,12,1
118,1643,-2.0,1015,79,5.4,3,0.74,1,12,1
119,1213,-2.0,1015,77,5.5,1,0.77,1,13,1
120,836,-2.0,1015,77,5.5,1,0.81,1,13,1
121,577,-2.0,1015,77,5.5,1,0.84,1,13,1
122,528,-2.0,1015,77,5.5,1,0.87,1,13,1
123,402,-2.1,1015,76,5.0,0,0.9,1,14,1
124,201,-2.1,1015,76,5.0,0,0.94,1,14,1
125,57,-2.1,1015,76,5.0,0,0.97,1,14,1
126,33,-2.1,1015,76,5.0,0,1.0,1,14,1
127,40,-9.2,1012,79,7.2,10,0.03,1,7,1
128,91,-9.2,1012,79,7.2,10,0.06,1,7,1
129,197,-9.2,1012,79,7.2,10,0.1,1,7,1
130,417,-9.2,1011,78,8.0,17,0.13,2,8,1
131,1224,-9.2,1011,78,8.0,17,0.16,2,8,1
132,1715,-9.2,1011,78,8.0,17,0.19,2,8,1
133,1984,-9.2,1011,78,8.0,17,0.23,2,8,1
134,2210,-8.4,1009,76,8.2,54,0.26,3,9,1
135,2253,-8.4,1009,76,8.2,54,0.29,3,9,1
136,2772,-8.4,1009,76,8.2,54,0.32,3,9,1
137,3198,-8.4,1009,76,8.2,54,0.35,3,9,1
138,2543,-7.3,1008,75,7.5,97,0.39,4,10,1
139,2285,-7.3,1008,75,7.5,97,0.42,4,10,1
140,2505,-7.3,1008,75,7.5,97,0.45,4,10,1
141,2103,-7.3,1008,75,7.5,97,0.48,4,10,1
142,2919,-6.0,1005,75,7.8,98,0.52,4,11,1
143,1088,-6.0,1005,75,7.8,98,0.55,4,11,1
144,846,-6.0,1005,75,7.8,98,0.58,4,11,1
145,851,-6.0,1005,75,7.8,98,0.61,4,11,1
146,576,-5.3,1004,76,8.1,99,0.65,4,12,1
147,491,-5.3,1004,76,8.1,99,0.68,4,12,1
148,502,-5.3,1004,76,8.1,99,0.71,4,12,1
149,775,-5.3,1004,76,8.1,99,0.74,4,12,1
150,331,-4.5,1001,77,9.0,100,0.77,4,13,1
151,299,-4.5,1001,77,9.0,100,0.81,4,13,1
152,231,-4.5,1001,77,9.0,100,0.84,4,13,1
153,182,-4.5,1001,77,9.0,100,0.87,4,13,1
154,65,-3.9,999,82,10.1,100,0.9,5,14,1
155,22,-3.9,999,82,10.1,100,0.94,5,14,1
156,17,-3.9,999,82,10.1,100,0.97,5,14,1
157,5,-3.9,999,82,10.1,100,1.0,5,14,1
158,28,2.1,999,87,7.1,59,0.06,3,7,1
159,46,2.1,999,87,7.1,59,0.1,3,7,1
160,78,2.0,999,87,7.3,70,0.13,3,8,1
161,113,2.0,999,87,7.3,70,0.16,3,8,1
162,240,2.0,999,87,7.3,70,0.19,3,8,1
163,326,2.0,999,87,7.3,70,0.23,3,8,1
164,446,2.4,1000,87,7.7,81,0.26,3,9,1
165,467,2.4,1000,87,7.7,81,0.29,3,9,1
166,1278,2.4,1000,87,7.7,81,0.32,3,9,1
167,969,2.4,1000,87,7.7,81,0.35,3,9,1
168,492,2.7,1000,86,7.4,55,0.39,3,10,1
169,558,2.7,1000,86,7.4,55,0.42,3,10,1
170,399,2.7,1000,86,7.4,55,0.45,3,10,1
171,434,2.7,1000,86,7.4,55,0.48,3,10,1
172,906,2.8,1001,85,7.7,72,0.52,3,11,1
173,1548,2.8,1001,85,7.7,72,0.55,3,11,1
174,850,2.8,1001,85,7.7,72,0.58,3,11,1
175,792,2.8,1001,85,7.7,72,0.61,3,11,1
176,535,2.9,1000,85,7.4,77,0.65,3,12,1
177,304,2.9,1000,85,7.4,77,0.68,3,12,1
178,880,2.9,1000,85,7.4,77,0.71,3,12,1
179,684,2.9,1000,85,7.4,77,0.74,3,12,1
